Dat 	 	STORAGE_AF 	 	RAIN_IN 	 	LK_EVAP_AF 	 
12/2015		1427251		13.04		920	
01/2016		2346025		23.30		1150	
02/2016		2766120		3.08		2608	
03/2016		4026672		17.17		4810	
04/2016		4233111		1.77	 	8353	
05/2016		4167076		2.39		10255	
06/2016		3920296		1.46		15856	
07/2016		3544374		0.00		18298	
08/2016		3132231		0.00		15684	
09/2016		2811392		0.00		10104	
10/2016		2765261		13.08		3519	
11/2016		2910211		8.47		1722	
12/2016		3341580		9.97		1745	
01/2017		3546148		22.42		2071	
02/2017		3779345		25.47		1761	
03/2017		4031347		7.85		3844	
04/2017		4262821		10.29		4491	
05/2017		4353084		0.19		15910	
06/2017		4211498		0.42		15686	
07/2017		3941688		0.00		22021	
08/2017		3626594		0.08		17272	
09/2017		3381860		0.27		10760	
10/2017		3176781		0.49	 	7063	
11/2017		3221291		10.37		1648	
12/2017		3202775		0.17		2638	
01/2018		3349127		7.61		1757	
02/2018		3413598		0.27		3110	
03/2018		3879642		11.66		2769	
04/2018		4194766		4.50		7391	
05/2018		3955254		3.26		11070	
06/2018		3641799		0.00		16302	
07/2018		3146945		0.00		17411	
08/2018		2691395		0.00		13440	 
09/2018		2405109		0.26		9023	
10/2018		2191045		1.14		5062	
11/2018		2177030		10.45		2344	
12/2018		2267895		6.14		1428	
01/2019		2911539		11.40		1855	
02/2019		3947653		23.48		1694	
03/2019		4027772		24.85		2900	
04/2019		4223154		7.13		8420	
05/2019		4476827		7.55		11187	
06/2019		4355399		0.00		17705	
07/2019		 		0.00		 	
08/2019		 		 		 	
09/2019		 		 		 	
