"Year","Month","X11192950","X11199500","X11209900","X11211300","X11221700","X11251000","X11257500","X11270900","X11289650","X11302000","X11325500","X11329500","X11335000","X11370500","X11372000","X11374000","X11376000","X11376550","X11379500","X11381500","X11382000","X11383500","X11384000","X11384350","X11388000","X11390000","X11407150","X11421000","X11423800","X11446500","X11451760","X11454000"
1970,1,NA,NA,0.05752868272128,0.005484968690688,0.01000892408832,0.01628927318016,0.01736087150592,0.03556336361472,NA,0.32984432575488,0.16043882056704,0.06316558350336,0.25034298421248,2.825300791296,0.10296640899072,0.42415721127936,0.57612110810112,0.18462807318528,0.06730273594368,0.13935916035072,0.21995656593408,0.18643853611008,0.1143405199872,0.050951564504064,0.4270735245312,0.20562454996992,2.8714920615936,1.29551833755648,NA,1.4552696715264,0.47362933398528,0.33413316562944
1970,2,NA,NA,0.02505044579328,0.00113031604224,0.00242699894784,0.03736648682496,0.0091746432,0.1007498151936,NA,0.1481643712512,0.1848140126208,0.01891689099264,0.08053868786688,2.062215134208,0.05769260301312,0.08114299103232,0.149118534144,0.06296985778176,0.01412650395648,0.03027142941696,0.03557804304384,0.04635519058944,0.02079830449152,0.0059818673664,0.16805010456576,0.05827244046336,0.7855696493568,0.3517191217152,NA,0.4654357659648,0.2961085510656,0.1911261671424
1970,3,NA,NA,0.04371044677632,0.0042448015872,0.00783636857856,0.00657638424576,0.01485313569792,0.08573275920384,NA,0.13011112000512,0.06594244217856,0.03628510221312,0.09539671670784,0.5746262529024,0.05511880977408,0.08482018802688,0.1388551666176,0.06381392495616,0.01494365884416,0.0423012215808,0.03718054738944,0.05417687973888,0.02479110921216,0.00689199197184,0.013787164486656,0.06170498030592,0.6624826361856,0.326861955072,NA,0.4202475899904,0.10287588584448,0.0773850571776
1970,4,NA,NA,0.04527869912064,0.00093703689216,0.00165388234752,0.0044282944512,0.0075599059968,0.1148909985792,NA,0.002263567970304,0.00548521334784,0.0054558544896,0.03328071238656,0.6427877354496,0.00633417366528,0.02304425714688,0.04194891528192,0.04438325394432,0.0037187887104,0.01918846043136,0.01247262160896,0.01956767901696,0.0052478959104,0.00062509902336,0.0148262234112,0.02810866019328,0.1754925751296,0.05226610738176,NA,0.1336317364224,0.02787378932736,0.03270821465088
1970,5,NA,NA,0.10833908004864,0.00045506230272,0.000777520429056,0.0065323459584,0.0076333031424,0.1180715415552,NA,0.076094980015104,0.00343498641408,0.001632597175296,0.02859308135424,0.6750580137984,0.00451147788288,0.01485313569792,0.0259825895424,0.04515881711616,0.00242699894784,0.0288940096512,0.01147197385728,0.01720429092864,0.00366007099392,0.000304842811392,0.01458645940224,0.02383694631936,0.126854733312,0.15317250315264,NA,0.1125912213504,0.03474620872704,0.04311103675392
1970,6,NA,NA,0.05991408995328,8.6363974656e-05,0.0001412650395648,0.00577146221568,0.00430107273216,0.1261452275712,NA,0.064766619906048,0.0056148816384,0.0003285011579904,0.01061567382528,0.7243808956416,0.00380686528512,0.008624164608,0.01415586281472,0.03826193200128,0.00128934319104,0.02636670127104,0.00396589243392,0.01270259933184,0.0025322015232,3.5230629888e-05,0.01744894808064,0.01736331807744,0.1298884819968,0.05630295038976,NA,0.1415586281472,0.03405872212992,0.04116111925248
1970,7,NA,NA,0.0149730177024,9.4437660672e-06,0,0.00767734142976,0.001232093417472,0.1416075595776,NA,0.000323681412096,0.0206490636288,8.62661117952e-05,0.00478549389312,0.8377550198784,0.00350104384512,0.00326861955072,0.00584241278976,0.02988242454528,0.0004403828736,0.01352464736256,0.000950982349824,0.0095783275008,0.0022263800832,3.1316115456e-05,0.01658041519104,0.01140836299776,0.1295704276992,0.03619457906688,NA,0.2774656760832,0.03808333228032,0.04558207398912
1970,8,NA,NA,0.00491271561216,0,0,0.00690667140096,0.00019817229312,0.1317968077824,NA,0.000206001321984,0.01856213812224,0.000402216357888,0.00394631986176,0.7173103039488,0.00364049842176,0.00202820779008,0.00415183186944,0.02205094910976,0.000181290949632,0.0090400817664,0.000398546500608,0.00795380401152,0.00198661607424,1.2477514752e-05,0.0112786947072,0.00984255722496,0.2938087738368,0.09094640311296,NA,0.2514341551104,0.03079499572224,0.03793653798912
1970,9,NA,NA,0.00275728610304,0,0,0.00535065191424,0.00020061886464,0.0937281549312,NA,0.000133093490688,0.02288033685504,0.0006684278049792,0.00288450782208,0.5751400329216,0.00354997527552,0.002568900096,0.00475124189184,0.02162035252224,0.000148262234112,0.00817644201984,0.000329797840896,0.0072296188416,0.00172727949312,5.871771648e-06,0.01557976743936,0.00971533550592,0.31683101184,0.13404031386624,NA,0.2639606012928,0.01805325124608,0.03259322578944
1970,10,NA,NA,0.00279643124736,0,0,0.00452371074048,0.000469497074688,0.02972829053952,0.000588155793408,0.005670174154752,0.03166842175488,4.92250189824e-05,0.00196459693056,0.5185019022336,0.00365517785088,0.00764308942848,0.00768957428736,0.0232913608704,0.000309980611584,0.00901806262272,0.000740577199104,0.008318343168,0.00210649807872,7.33971456e-07,0.00715377512448,0.00945110578176,0.2320328429568,0.1612045974528,NA,0.1425861881856,0.005238354281472,0.03056746457088
1970,11,NA,NA,0.00817888859136,0.000230467037184,0.000414938529792,0.00391206786048,0.002205828882432,0.01260962961408,0.01075635168768,0.02297086000128,0.02884997136384,0.00378239956992,0.02106008764416,0.784248500736,0.01627459375104,0.10737757744128,0.07004289604608,0.056148816384,0.007767375261696,0.03495906044928,0.02083989620736,0.03008793655296,0.01291300448256,0.006854559427584,0.002126804622336,0.0272303410176,0.2240570198016,0.2093775906816,NA,0.1861106955264,0.021712343611392,0.01166525300736
