"Year","Month","SAC","YOLO","CSMR","MOKE","MISC","SJR","EAST","TOT","CCC","SWP","CVP","NBAQ","EXPORT","GCD","PREC","MISDV","CD","XGEO","WEST","RIO","OUT","EXPIN","DIVE","EFFECT","EFFD"
1969,10,1.2661007616,0.00186918064128,0.00175419177984,0.07258733042688,0.00864618375168,0.3384097726464,0.4213974786048,1.68936742084608,0.00791710543872,0.02068820877312,0.1235763274752,0,0.15218164168704,0.141411833856,0.0819479130624,0,0.0594639207936,0.52944297007104,0.7600152098304,0.72187805297664,1.47772185836544,6.7036059648e-06,0.00099820118016,1.45732234503168,-4.403828736e-05
1969,11,1.243347646464,0.0015168743424,0.00340562755584,0.02688048129024,0,0.3396575241216,0.36994363296768,1.61480815377408,0.0057372102144,0.04605915543552,0.02687069500416,0,0.07866706065408,0.126977061888,0.056148816384,0,0.070828245504,0.51766762134528,0.76290705736704,0.70736254414848,1.465312847616,3.3762686976e-06,0.00070705916928,1.38341631255552,-0.00039879115776
1969,12,2.673613357056,0.48093234997248,0.09431777866752,0.0311693211648,0.0147895248384,0.2016219589632,0.34189858363392,3.4964442906624,0.00713420255232,0.05513838234624,0,0,0.06227258489856,0.15780386304,0.2268461113344,0,-0.0690422482944,0.5069785503744,0.83148690364416,2.66689262509056,3.50321395405824,1.712600064e-06,0.00017859972096,3.37774153365504,-0.00021040515072
1970,1,5.328877427712,7.44499787222016,0.25929743597568,0.16043882056704,0.28979884311552,0.8430640800768,1.55259917973504,14.3264744796672,0.00372123528192,0.04968252785664,0.03123782516736,0,0.08464158830592,0.091746432,0.49695984,0,-0.405213408,0.77158015340544,2.5029282949632,12.1157573473382,14.6470462993613,5.382457344e-07,-0.00013945457664,13.8392691203174,-0.00042081030144
1970,2,4.525423340544,2.26051464904704,0.0822415016448,0.1848140126208,0.04192444956672,0.629625180672,0.93860514450432,7.72454313409536,0.0057372102144,0.02638138070016,0.1014348552192,0,0.13355344613376,0.060307987968,0.0956120150016,0,-0.0353040270336,0.65864396547072,1.4866469512704,6.13718061963264,7.6262937149952,1.3945457664e-06,9.052314624e-05,7.3205946035712,-0.00029848172544
1970,3,3.352781611008,0.22781740022784,0.10488207449088,0.06594244217856,0.11588919975936,0.5445334232064,0.8312471396352,4.41184615087104,0.0054803202048,0.03308009352192,0.13323294526464,0,0.17179335899136,0.099330803712,0.105447232512,0,-0.0061164288,0.5759107029504,1.23934505545728,3.00639112206336,4.24616922067968,3.8655830016e-06,0.0004770814464,4.04454726171648,-0.0001957257216
1970,4,1.073066268672,0.00900582976512,0.03160725746688,0.00548521334784,0.0110829689856,0.1227689588736,0.17094439867392,1.25301649711104,0.0094070674944,0.064589488128,0.26749345056768,0,0.34149000619008,0.137986633728,0.03581046733824,0,0.10217616638976,0.467784474624,0.23082668319744,0.58567986302976,0.8093503245312,2.0061886464e-05,0.00267654924288,1.13024753823744,0.0021652157952
1970,5,1.081873926144,0.00359890670592,0.0250284266496,0.00343498641408,0.00743268427776,0.1815111410688,0.21740723841024,1.30288007126016,0.01260473647104,0.02149557737472,0.2701504272384,0,0.30425074108416,0.184593821184,0.00212362407936,0,0.18247019710464,0.4754667091968,0.27001831237632,0.55891681717248,0.81615913307136,1.73217263616e-05,0.00288940096512,1.12136893019136,0.00213830350848
1970,6,0.865107689472,0.00245391123456,0.00780945629184,0.0056148816384,0.0061653602304,0.2008879875072,0.22047768566784,1.0880392863744,0.01446168425472,0.0418486058496,0.310469925888,0,0.36678021599232,0.274994638848,0.0098596832256,0,0.2651349556224,0.40684282463232,0.08819645672448,0.3864849030144,0.45612411475968,2.40008666112e-05,0.00429128644608,0.8871512988672,0.00356710127616
1970,7,0.999179808768,0.00123307204608,0.00080492203008,0.0206490636288,0.00242699894784,0.10088682319872,0.12476780780544,1.12518068861952,0.01604461602816,0.04311592989696,0.3373088154624,0,0.39646936138752,0.330042498048,0,0,0.330042498048,0.45123586486272,-0.03499086587904,0.45676511649792,0.39867127575552,2.568900096e-05,0.00491271561216,1.0242938654208,0.00463380645888
1970,8,1.135943156736,0.00174440549376,0.00017859972096,0.01856213812224,0.00371634213888,0.07921019953152,0.1016672795136,1.23935484174336,0.01626725403648,0.06329035865088,0.2699302358016,0,0.34948784848896,0.287105167872,0,0,0.287105167872,0.49131070636032,0.05687300155392,0.56598740886528,0.6027618253824,2.0551200768e-05,0.00393164043264,1.16014464221184,0.0036820901376
1970,9,1.358825822208,0.00318543611904,0.00012722171904,0.02288033685504,0.0086608631808,0.0968353007616,0.12850372251648,1.49051498084352,0.01180715415552,0.04749529291776,0.1674433548288,0,0.22674580190208,0.193156821504,0,0,0.193156821504,0.5515061520384,0.32771336196096,0.75642119626752,1.07061235743744,1.07159832576e-05,0.00208937207808,1.39367968008192,0.001712600064
1970,10,1.157472986112,0.00187407378432,0.000428150016,0.03166842175488,0.00371634213888,0.111196675584,0.14700958949376,1.30635664939008,0.00877829861376,0.03206965948416,0.1551615657984,0,0.19600952389632,0.141411833856,0.04914672869376,0,0.09226510516224,0.49761307459584,0.388637885952,0.63589819004928,1.01808202033152,1.0887243264e-05,0.00168324120576,1.1970707461632,0.00114744204288
1970,11,1.652903718912,0.01658286176256,0.02415500061696,0.02884997136384,0.0209915836416,0.121472275968,0.1954688315904,1.86495541226496,0.00575188964352,0.10876967663616,0.03452357071872,0,0.1490451369984,0.126977061888,0.32794823282688,0,-0.20097117093888,0.374631264,0.55169698461696,1.35112646163456,1.91688144620544,5.9451687936e-06,-8.56300032e-05,1.80507312774144,-0.00031316115456
