"Group.1","sub_1","sub_2","sub_3","sub_4","sub_5","sub_6","sub_7","sub_8","sub_9","sub_10","sub_11","sub_12","sub_13","sub_14","sub_15","sub_16","sub_17","sub_18","sub_19","sub_20","sub_21","CV_ch"
1974,0.887989969335675,0.981732645544552,-0.457984443342524,0.348823259497191,0.372555056407061,1.03981379376697,0.0245350394837125,0.491814992710144,-0.215003688107027,-0.0335802761516392,-0.631541086005673,0.0677531163887524,0.0167153891508053,-0.00586557034911438,-0.267911125254963,-0.266334366990085,-0.0411833272892673,0.31754404142522,0.326596308932624,0.0706303332617915,0.867195089760369,3.89429515217457
1975,0.182212346154128,0.48626655022609,-0.43739062110683,0.0601563560022326,-0.0785064770066843,-0.193571839144231,-0.210223827391655,0.0552276141771107,-0.316889433264984,-0.00913713097343088,-0.403614591582235,0.14549939929495,0.0899664986666001,-0.181446107998599,-0.212972145540844,-0.259655192830017,-0.634648100316522,-0.376955128442351,0.517532446707467,-0.0980063252885838,0.580537772876778,-1.29561793678161
1976,-0.0438325969454077,-0.0378792027767968,-0.287788911996092,-0.0878027269789236,-0.236290356401895,-0.532986848629734,-0.287450691612584,-0.590388719079732,-0.616996376033958,-0.0227548802660592,-0.652764970137438,0.0591889371590931,-1.02447274871287,-0.266696886941605,-1.1767486437881,-0.783622954580788,-1.18918175830194,-1.59692086235096,0.24802680106671,-0.274912977942896,0.0593587874392202,-9.34291858781275
1977,-0.118655900847895,-0.337068806015446,-0.157379667799009,-0.12924742880967,-0.332238002550838,-0.684192822623043,-0.428308380020576,-0.789402798027388,-0.929814706542643,-0.412342577037039,-0.987689123414676,-0.62918119090086,-1.56240116736605,-0.736387801370194,-1.88609287615605,-0.839433635042683,-1.26597715100517,-2.16822220906509,-0.0447715223864286,-0.399943999980268,-0.373993418147445,-15.2127451851085
1978,0.162458647562519,0.621325522934101,0.139062850771052,0.208829007516823,0.255015332163994,0.165271846791862,-0.0368635548417778,0.130915341291721,0.147629867006113,0.13012196656283,-0.125020784148287,0.0248311981783958,0.903290556225761,-0.192037265916232,1.88194110376779,-0.220814245220883,-0.161302629533963,1.27017086173424,0.541560278963975,0.177948203682197,0.505828195886589,6.53016230137882
1979,-0.00861462858665325,0.0998005461852182,0.0813732092945305,-0.0529916838737138,0.0480858847879844,-0.243048473321063,-0.134402514326877,-0.132180522354362,-0.189841547080707,0.159611897660573,-0.0962964744657252,0.108623262950937,0.398987065722285,-0.218866579336225,0.628971375848914,-0.153566855882589,-0.418960200514597,0.285951272581932,0.694045495698842,0.0663130277755054,0.830402953445916,1.75339651221013
1980,0.110513942031344,0.446166959001568,0.531931976011273,0.0987445634342,0.181707112495899,0.0354836600823398,-0.0387236436030425,0.229895869566841,0.0936024294633892,0.294440826234667,0.132334090690439,0.225898035558764,0.608545800368593,-0.0419364905503051,1.18191717424395,-0.145418482966863,-0.152028828908846,1.7765548639841,0.80510118241451,0.205462345537394,0.698843611927279,7.2790369970175
1981,0.00797580897826051,0.0784718162015248,0.302883507624133,-0.0422516448463947,-0.178497965990469,-0.414177009401582,-0.284830778794994,-0.507019738156736,-0.473152184370807,0.0275701418749399,-0.258158734152865,0.0159856620213934,-0.626577436679302,-0.147617162155843,-0.414375229735779,-0.359139721282732,-0.743897601373608,-0.822170827196775,0.48857217218404,-0.0208654346662215,0.276010652338541,-4.09526170758127
1982,0.178879111499247,0.447503928635749,0.122970616024887,0.201497815505849,0.312225396378994,0.321989628895023,0.0290279926089823,0.660975880520141,0.354305464072418,0.234995325108485,0.119191848173339,0.224273664942257,0.609516302913242,0.124857841359592,1.19059705395489,-0.0950534960540992,-0.0397839435361805,0.935594796685406,0.46463438401211,0.259568602491126,0.630450195753388,7.28821840994485
1983,0.213194912139173,0.470979408274674,0.279157014680886,0.166634472822711,0.23229141226128,0.433633069121794,0.162790700542982,0.933919113275436,0.508266910402428,0.71041501688632,0.462229960257251,0.383943166147364,1.63305382662689,0.464923635215407,1.50642088332014,0.135301474996129,0.383798355523635,3.47614066119492,0.504145358289117,0.804427702000949,0.624225312502298,14.4898923664818
1984,0.00237506691632314,-0.0677055040371784,-0.0507906610716023,-0.147018924059529,-0.0389694762887949,-0.251310819845208,-0.152412688074958,-0.0671955831526358,-0.361096391575828,0.0267070754914951,-0.129881191147556,-0.0502661851158362,0.0404894944456442,0.0952348177038858,-0.329998988545914,-0.193804226891372,-0.388454991525977,-0.0701855401534649,0.334929580591915,0.140636401986405,0.161028920186448,-1.49768981416374
