"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","17144","10837","2366","49605","2064","2856","413","612","200","827","2488","2973"
"2",2,"Cotton","C","168792","161103","69729","215990","473714","331413","171255","117655","88392","112128","199249","203213"
"3",3,"Rice","R","7","29","5","317","17","2","3","3","8","NA","3","24"
"4",4,"Sorghum","C","397","340","11","12","638","2527","97","36","81","999","345","5978"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","3","NA","NA","NA","NA","3","NA","NA","NA","NA","27"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","8568","4011","NA","10404","8411","6063","NA","2","34","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","7751","28290","34061","13748","38476","68560","50918","26933","42376","38410","37264","5107"
"22",22,"Durum Wheat","C","547","66683","115824","11899","40233","75760","42447","41620","33844","7456","1787","698"
"23",23,"Spring Wheat","C","NA","12","291","NA","NA","NA","NA","NA","NA","8","5941","2031"
"24",24,"Winter Wheat","C","63473","380583","354753","356374","350591","311808","405082","292702","103134","246369","337878","206342"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","6","NA","34","3","NA","6","NA","NA","5","226","NA","9"
"28",28,"Oats","C","2271","21799","14554","37217","5476","6409","8718","10676","3726","5882","3410","142"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","15500","170236","2399","9842","12462","4068","3193","1692","2832","2410","581","351"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","26956","82400","94700","89313","42409","48196","49077","37761","45372","37570","31029","22281"
"37",37,"Other Hay/Non Alfalfa","C","3344","566","2640","7343","4487","4817","5883","1597","675","450","2524","1600"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","78","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","1435","899","NA","NA","NA","NA","NA","1","21","NA","NA","NA"
"42",42,"Dry Beans","C","168","194","18921","1311","16091","20792","42236","41564","11380","28311","9912","41012"
"43",43,"Potatoes","C","NA","NA","NA","NA","136","458","1","NA","30","65","NA","53"
"44",44,"Other Crops","C","NA","54","670","1017","9","56","12","13","97","228","597","10"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","6","1","13","192","NA","NA","25","NA","NA","158","517","13"
"47",47,"Misc Vegs & Fruits","C","1","NA","2","18492","15","744","NA","NA","NA","NA","NA","109"
"48",48,"Watermelons","C","NA","8086","38135","27","2822","7438","5081","635","4539","3695","576","10327"
"49",49,"Onions","C","3202","67844","51277","127","65569","70371","61366","39729","30570","32301","52813","42797"
"50",50,"Cucumbers","C","NA","466","NA","NA","724","NA","NA","NA","NA","NA","NA","2"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","1","37","19","1100","10","420","6","2","55","1861","NA","36"
"54",54,"Tomatoes","C","32522","317559","297101","183279","366784","406478","433582","372939","317821","305381","199042","306797"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","5634","5160","2097","NA","2447","4414","2472","3148","1302","112","2642","2743"
"58",58,"Clover/Wildflowers","C","1","NA","NA","211","NA","1","NA","9","NA","NA","NA","137"
"59",59,"Sod/Grass Seed","C","2","NA","NA","9","NA","NA","NA","NA","NA","15","504","56"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","52","520","806","8","247","1345","1063","734","1146","919","2393","4005"
"67",67,"Peaches","T","238","1414","873","3000","1012","218","199","2","NA","77","51","1034"
"68",68,"Apples","T","NA","675","7","1321","40","NA","1","7","NA","3","NA","924"
"69",69,"Grapes","C","29110","76689","74832","29725","54735","79510","85523","126678","84959","93887","95345","87487"
"70",70,"Christmas Trees","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","342","693","116","12437","67","32","57","4","NA","533","20","6114"
"72",72,"Citrus","T","4","174","325","8252","10","3","2","1","21","246","150","13616"
"74",74,"Pecans","T","NA","6","NA","1","NA","NA","1","NA","NA","2","NA","62"
"75",75,"Almonds","T","81656","380586","358426","154576","359116","386182","445344","439992","447799","464635","485678","417458"
"76",76,"Walnuts","T","996","1480","463","1156","482","622","399","604","439","9940","3297","2237"
"77",77,"Pears","T","NA","5","NA","NA","NA","NA","NA","NA","NA","76","NA","NA"
"204",204,"Pistachios","T","22526","131974","129832","148149","111739","132763","150134","139154","149207","171637","301964","271926"
"205",205,"Triticale","C","1827","5133","11239","6043","4055","8164","7157","10028","8050","12254","5699","1271"
"206",206,"Carrots","C","81","4005","7404","NA","823","229","375","539","6583","3001","9170","1518"
"207",207,"Asparagus","C","18806","NA","1571","481","NA","2","609","342","NA","28","NA","NA"
"208",208,"Garlic","C","NA","47443","35307","24857","65794","50571","60224","53042","44688","45032","60598","73388"
"209",209,"Cantaloupes","C","3938","43185","31898","40712","19625","21220","14711","5318","14939","21250","40856","28202"
"210",210,"Prunes","C","362","NA","NA","2364","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","NA","33","152","1660","163","NA","1","1","5","506","NA","NA"
