"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","189644","484041","490148","616090","475136","510331","500583","372957","343306","316300","265548","450156"
"2",2,"Cotton","C","96","94","28","48","83","430","30","86","378","1189","7","656"
"3",3,"Rice","R","10170","25996","33160","40538","25729","22313","25307","22989","31291","25722","24798","30308"
"4",4,"Sorghum","C","155","26","580","1171","2396","2809","1768","3054","2897","36813","12753","14082"
"5",5,"Soybeans","C","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2465"
"6",6,"Sunflower","C","189","2129","3157","2321","5172","1755","5696","2816","530","2902","2515","8722"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","2","6895","5200","82","1396","1945","2064","1009","4331","5332","NA","NA"
"13",13,"Pop or Orn Corn","C","23","4","19","NA","4","NA","NA","NA","NA","16","9","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8"
"21",21,"Barley","C","874","3417","6901","6620","552","5480","1640","67","3793","1191","1631","4740"
"22",22,"Durum Wheat","C","NA","11","97","12","2","214","NA","5","214","NA","NA","NA"
"23",23,"Spring Wheat","C","NA","NA","19","NA","NA","1","1796","582","1952","1292","NA","77"
"24",24,"Winter Wheat","C","53918","176624","169022","273708","189039","130103","102163","122255","137574","138668","219177","125089"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","1599","5370","1601","1670","3674","4515","148","198","443","505","1544","638"
"28",28,"Oats","C","7182","33155","38277","63414","29336","48399","36871","52103","47756","28084","49186","10195"
"29",29,"Millet","C","NA","NA","4","NA","NA","NA","NA","NA","244","NA","NA","1"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","11","NA","45","5","611","504","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","26757","88394","35454","69420","71174","64659","46801","38685","44291","96553","139971","102025"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","162881","474662","518618","501040","412313","458796","420067","525617","484267","479106","593129","387294"
"37",37,"Other Hay/Non Alfalfa","C","116","36193","61558","71616","42912","71777","83599","102268","90862","70923","57897","154014"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","515","3","NA","NA","NA","86","850","NA","NA","NA","NA","NA"
"42",42,"Dry Beans","C","1620","5980","3055","5627","8953","6801","2940","6781","8012","27227","2234","28955"
"43",43,"Potatoes","C","NA","NA","6644","318","1306","918","1774","10271","13745","129","NA","280"
"44",44,"Other Crops","C","NA","5154","1531","344","4360","4380","5293","9222","3794","3793","3513","4712"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","39","3","1","NA","13","NA","NA","NA","NA","NA","NA"
"47",47,"Misc Vegs & Fruits","C","129","4","106","63","28","82","NA","62","20","NA","410","1"
"48",48,"Watermelons","C","1","1709","2157","72","2144","711","2026","2940","4254","1359","1935","3088"
"49",49,"Onions","C","15","2763","3001","11","1760","3482","196","860","793","2339","30","2139"
"50",50,"Cucumbers","C","NA","3360","16534","NA","2","2675","1725","NA","5615","9283","12155","13176"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA"
"53",53,"Peas","C","33","71","8","231","439","5830","3151","4279","2263","9672","1430","1371"
"54",54,"Tomatoes","C","2318","82995","48688","28092","156416","138058","126452","204760","193018","151449","28915","97685"
"55",55,"Caneberries","T","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","1","2083","563","4","1762","17","45","68","660","792","563","113"
"58",58,"Clover/Wildflowers","C","20887","109729","96038","85867","123007","100680","117694","78240","93332","94612","94698","120468"
"59",59,"Sod/Grass Seed","C","3096","15014","9178","14148","2131","1659","7289","13611","7388","2235","6811","7382"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","1004","1596","4571","3247","7036","9067","10076","6856","4678","4476","5703","14605"
"67",67,"Peaches","T","NA","82","72","51","152","39","21","2","1","3","NA","3518"
"68",68,"Apples","T","2165","3867","3905","2558","902","547","733","1081","1190","963","750","3622"
"69",69,"Grapes","C","39415","158538","179081","127407","126193","200598","156233","196296","207437","185011","186240","171588"
"70",70,"Christmas Trees","T","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","4852","1","103","27863","261","NA","202","208","325","129","5","7192"
"72",72,"Citrus","T","8","NA","7","49","NA","NA","NA","NA","NA","NA","1","6"
"74",74,"Pecans","T","NA","13","2","NA","2","NA","NA","NA","NA","16","1","735"
"75",75,"Almonds","T","4223","24271","25755","19794","22651","24568","22421","58875","40480","55169","78533","54785"
"76",76,"Walnuts","T","7819","20186","24154","21705","28475","28961","33477","31942","30768","29699","38753","23349"
"77",77,"Pears","T","NA","25194","25756","NA","26505","28980","25374","24824","26911","31078","30090","24590"
"204",204,"Pistachios","T","11","35","16","6","14","74","6","641","2","32","36","768"
"205",205,"Triticale","C","297","6957","28218","29285","19402","56515","67535","56110","47913","42326","26508","48178"
"206",206,"Carrots","C","NA","592","NA","NA","101","83","723","26","2386","97","518","4832"
"207",207,"Asparagus","C","140","NA","1475","1835","13675","11644","9516","5023","2297","849","NA","NA"
"208",208,"Garlic","C","NA","3","3","1","NA","NA","NA","238","25","1204","256","4130"
"209",209,"Cantaloupes","C","NA","41","378","452","26","21","NA","402","3","1744","6486","753"
"210",210,"Prunes","C","314","NA","NA","26","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","3320","12427","11057","11882","9128","6386","7145","9520","8441","7766","14437","12702"
"212",212,"Oranges","T","NA","3","14","NA","NA","NA","5","7","NA","NA","NA","4324"
"213",213,"Honeydew Melons","C","70","226","197","NA","18","181","304","152","NA","142","50","70"
