"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","76968","121985","64434","167710","64724","68338","49514","44115","38101","53425","19941","91039"
"2",2,"Cotton","C","184262","458800","327889","558058","627939","507167","466727","358012","257440","386815","440252","445488"
"3",3,"Rice","R","101","366","352","558","84","17","78","3","56","14","15","23"
"4",4,"Sorghum","C","845","5730","2031","194","9874","7818","11904","10928","8779","8739","14425","49082"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","15"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","855","14","NA","95","130","33","NA","NA","19","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","4103","13761","18791","34206","18717","25712","25402","46032","48679","50546","149212","56601"
"22",22,"Durum Wheat","C","13370","89993","105714","47508","17002","32362","15540","15445","39826","30416","NA","545"
"23",23,"Spring Wheat","C","NA","1","12","NA","2","1","136","1374","NA","374","5068","5"
"24",24,"Winter Wheat","C","119015","339137","245824","461459","308161","295134","327594","194168","136881","159569","236636","144611"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","NA","39","NA","1","2073","135","617","589","13","9","1594"
"28",28,"Oats","C","6984","44415","54266","50533","15654","14516","26665","14053","23120","9620","13974","2286"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","6772","37492","123384","4757","80272","95582","44949","121551","146063","141885","92845","85259"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","174359","583363","575509","630836","356782","391517","430940","377953","323694","278835","271092","213267"
"37",37,"Other Hay/Non Alfalfa","C","1479","19254","21273","10420","3992","3999","7488","912","14875","8006","36288","11413"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","17","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","1533","624","NA","NA","NA","1","7","9","32","2","NA","NA"
"42",42,"Dry Beans","C","16","360","277","907","519","1696","3835","3295","140","1696","1580","9575"
"43",43,"Potatoes","C","2","NA","35","NA","122","NA","188","1","8","11","NA","40"
"44",44,"Other Crops","C","NA","792","59","332","33","22","226","14","22","49","120","83"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","2","14","41","NA","NA","6","NA","NA","NA","NA","2"
"47",47,"Misc Vegs & Fruits","C","31","NA","NA","14","NA","23","NA","39","NA","NA","NA","613"
"48",48,"Watermelons","C","54","73","231","3","21","16","19","30","83","313","175","409"
"49",49,"Onions","C","601","10516","15321","6184","17107","15598","16173","22189","18119","16444","32448","35467"
"50",50,"Cucumbers","C","NA","7","2","NA","1","NA","NA","NA","1","NA","NA","6"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","5","58","23","717","74","118","788","444","288","215","NA","1253"
"54",54,"Tomatoes","C","1993","72073","115195","41110","142995","158412","82820","112187","138013","154551","83651","114525"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","6","212","37","NA","55","197","11","60","13","NA","4","56"
"58",58,"Clover/Wildflowers","C","17","2","NA","22","NA","NA","101","3","1","1","NA","49"
"59",59,"Sod/Grass Seed","C","NA","NA","66","115","2","NA","35","NA","NA","77","722","94"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","70","1741","1234","3868","1145","1408","1209","1934","2060","2890","4047","11022"
"67",67,"Peaches","T","2514","8963","6029","15243","3399","1984","16531","1380","1319","1703","1484","16481"
"68",68,"Apples","T","NA","141","34","308","11","94","6","3","NA","4","NA","158"
"69",69,"Grapes","C","91017","269703","298987","159556","304070","317489","298535","368949","359734","389400","330609","259830"
"70",70,"Christmas Trees","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","367","348","1130","3831","701","796","983","17","1155","433","1020","62813"
"72",72,"Citrus","T","6","38","55","NA","15","4","15","NA","81","7","14","65"
"74",74,"Pecans","T","NA","124","59","1445","109","103","NA","152","230","180","1","352"
"75",75,"Almonds","T","68937","255003","245259","280281","281089","295344","343217","329744","387284","434108","472722","393053"
"76",76,"Walnuts","T","18435","66521","73374","97587","68353","83025","109536","117946","109019","79472","125012","91579"
"77",77,"Pears","T","NA","9","NA","NA","NA","NA","NA","NA","NA","1","32","2529"
"204",204,"Pistachios","T","18146","108487","111939","54363","109597","142562","177419","201297","206935","217765","394955","248403"
"205",205,"Triticale","C","4312","3540","10183","20681","13802","10124","17219","16422","35308","44897","33198","29453"
