"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"209",209,"Cantaloupes","C","NA","NA","1","1","NA","NA","NA","103","26","53","248","2"
"210",210,"Prunes","C","1824","NA","1","4482","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","37","61","248","454","273","59","730","244","144","185","778","471"
"212",212,"Oranges","T","NA","4","13","NA","1","1","6","8","1","1","NA","171"
"213",213,"Honeydew Melons","C","3","184","115","NA","59","318","3","89","NA","152","111","371"
"214",214,"Broccoli","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"216",216,"Peppers","C","NA","NA","9","NA","1","NA","45","13","9","74","3","4"
"217",217,"Pomegranates","T","NA","10","3","6","1","NA","3","NA","4","1","6","13"
"218",218,"Nectarines","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"219",219,"Greens","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"220",220,"Plums","T","NA","20015","5581","NA","3716","1284","6410","1468","745","836","862","4186"
"221",221,"Strawberries","T","NA","2","6","2","NA","NA","NA","NA","NA","1","NA","1"
"222",222,"Squash","C","1","40","18","NA","NA","70","NA","53","271","256","264","36"
"223",223,"Apricots","T","NA","NA","4","1","NA","NA","NA","NA","NA","NA","NA","NA"
"224",224,"Vetch","C","690","1255","1998","9291","1715","4790","3236","2005","420","489","4","228"
"225",225,"Dbl Crop WinWht/Corn","C","NA","18","39","9","18","168","NA","NA","5","203","16","14"
"226",226,"Dbl Crop Oats/Corn","C","NA","557","1841","12","1160","1984","2","167","6","17","57","208"
"227",227,"Lettuce","C","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA"
"229",229,"Pumpkins","C","NA","111","13","40","NA","NA","90","19","121","15","1","38"
"230",230,"Dbl Crop Lettuce/Durum Wht","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"231",231,"Dbl Crop Lettuce/Cantaloupe","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"232",232,"Dbl Crop Lettuce/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"233",233,"Dbl Crop Lettuce/Barley","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"234",234,"Dbl Crop Durum Wht/Sorghum","C","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA"
"235",235,"Dbl Crop Barley/Sorghum","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"236",236,"Dbl Crop WinWht/Sorghum","C","NA","20","7","NA","NA","NA","2","8","NA","NA","NA","14"
"237",237,"Dbl Crop Barley/Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"238",238,"Dbl Crop WinWht/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"239",239,"Dbl Crop Soybeans/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"240",240,"Dbl Crop Soybeans/Oats","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"241",241,"Dbl Crop Corn/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"242",242,"Blueberries","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"243",243,"Cabbage","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"244",244,"Cauliflower","C","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA"
"245",245,"Celery","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"246",246,"Radishes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"247",247,"Turnips","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"248",248,"Eggplants","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"249",249,"Gourds","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"254",254,"Dbl Crop Barley/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
