"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","3560","6559","7077","12947","15441","9998","18812","6343","4166","4650","8749","8353"
"2",2,"Cotton","C","125","600","1020","2518","1251","977","1707","521","590","362","128","209"
"3",3,"Rice","R","254845","767554","842609","783001","861877","774695","828991","705694","670923","820077","654032","689404"
"4",4,"Sorghum","C","47","174","1","1249","109","35","654","1213","652","1869","829","246"
"5",5,"Soybeans","C","NA","NA","NA","NA","20","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","234","1774","4207","3347","5446","7524","12653","11185","2550","3869","6615","13305"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","1","14","13","NA","1","NA","NA","4","NA","194","NA","NA"
"13",13,"Pop or Orn Corn","C","70","234","434","NA","NA","NA","4","NA","NA","225","128","5"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","9","359","150","616","52","618","21","14","48","130","172","1030"
"22",22,"Durum Wheat","C","2","4","29","NA","NA","7","NA","NA","1","NA","NA","NA"
"23",23,"Spring Wheat","C","14","NA","8","NA","NA","NA","20","900","164","2","11","NA"
"24",24,"Winter Wheat","C","12554","42712","29769","37491","31451","22436","14678","20154","15751","8634","10079","3781"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","734","182","101","543","5","4713","5662","6881","203","988","45","67"
"28",28,"Oats","C","1267","5025","5586","4014","2010","1183","2598","2461","1584","775","1438","152"
"29",29,"Millet","C","NA","NA","9","NA","3","NA","163","NA","NA","NA","NA","13"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","9","4","21","1","30","12","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","4311","10546","6595","6800","3973","2520","2152","1166","2549","3038","936","2979"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","15253","33936","67956","46278","65518","30620","36921","53476","48808","45152","57055","19877"
"37",37,"Other Hay/Non Alfalfa","C","213","8803","16186","17015","6172","5127","23065","16343","22759","10300","13301","33623"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"42",42,"Dry Beans","C","87","287","1312","615","1998","4705","1076","4914","5119","4531","854","3698"
"43",43,"Potatoes","C","NA","NA","NA","NA","NA","NA","NA","NA","1","8","NA","NA"
"44",44,"Other Crops","C","NA","23464","6952","2160","752","1183","1901","3727","2979","6770","7352","3257"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"47",47,"Misc Vegs & Fruits","C","NA","NA","2","NA","3","NA","NA","NA","54","4","3","NA"
"48",48,"Watermelons","C","NA","952","219","50","2258","1649","114","179","306","585","631","1136"
"49",49,"Onions","C","2","46","93","43","12","251","1","17","112","38","4","14"
"50",50,"Cucumbers","C","NA","372","818","NA","254","NA","1","6","664","456","59","579"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","155","NA","NA","166","394","75","358","190","113","251","29","498"
"54",54,"Tomatoes","C","231","1421","8172","128","8974","8109","10606","9272","18148","9698","1823","10036"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","NA","54","3","20","267","NA","3","27","35","62","NA","70"
"58",58,"Clover/Wildflowers","C","595","11286","14545","6064","12179","11003","8162","10001","6521","9143","13443","11505"
"59",59,"Sod/Grass Seed","C","105","291","220","41","249","307","129","1225","65","368","172","735"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","NA","1059","3500","2536","1960","5034","2558","2064","1218","203","757","1721"
"67",67,"Peaches","T","98","44282","15884","12051","16510","16409","13710","10379","205","3884","2853","46277"
"68",68,"Apples","T","NA","5","NA","NA","8","NA","1","1","NA","1","NA","228"
"69",69,"Grapes","C","1232","501","2381","584","1467","449","7484","2794","4073","19424","2232","462"
"70",70,"Christmas Trees","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","718","6294","4191","10202","4573","8160","4455","5960","3864","3673","4512","15537"
"72",72,"Citrus","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","99"
"74",74,"Pecans","T","NA","36","897","829","8","980","926","1088","486","1256","504","3344"
"75",75,"Almonds","T","38134","135908","127186","192572","165808","129312","150232","169535","210885","208134","110915","139998"
"76",76,"Walnuts","T","69149","188619","273657","290686","238992","222384","236838","307021","327043","303090","407581","299659"
"77",77,"Pears","T","NA","33","4834","NA","86","8864","4575","6236","3946","98","15","667"
