"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"204",204,"Pistachios","T","687","1109","1151","1256","67","10","79","866","1333","5511","10746","4175"
"205",205,"Triticale","C","41","870","1041","691","48","186","833","156","123","550","195","558"
"206",206,"Carrots","C","NA","NA","11","NA","NA","NA","2","11","NA","NA","NA","3"
"207",207,"Asparagus","C","NA","NA","NA","3","NA","NA","NA","NA","NA","2","11","NA"
"208",208,"Garlic","C","NA","1","66","NA","NA","NA","NA","15","40","73","2","NA"
"209",209,"Cantaloupes","C","NA","1","39","94","NA","NA","NA","104","251","184","760","13"
"210",210,"Prunes","C","50021","NA","310","92622","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","1617","3560","5383","5561","9665","5051","7684","12231","10517","8726","8882","14070"
"212",212,"Oranges","T","3","39","14","59","55","10","157","33","36","82","15","1676"
"213",213,"Honeydew Melons","C","6","143","822","NA","94","17","15","61","NA","308","241","509"
"214",214,"Broccoli","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"216",216,"Peppers","C","NA","3","28","NA","71","NA","125","24","8","116","11","147"
"217",217,"Pomegranates","T","NA","18","17","102","23","NA","41","117","49","7","10","280"
"218",218,"Nectarines","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"219",219,"Greens","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14","NA"
"220",220,"Plums","T","60","289815","173809","NA","58939","112743","132144","80978","42780","71184","101606","131828"
"221",221,"Strawberries","T","4","NA","4","NA","NA","NA","60","NA","NA","NA","NA","NA"
"222",222,"Squash","C","16","25","68","NA","56","NA","NA","44","160","256","290","64"
"223",223,"Apricots","T","NA","NA","NA","NA","NA","4","4","NA","NA","NA","NA","NA"
"224",224,"Vetch","C","82","1513","3273","1936","76","1847","554","96","116","174","11","161"
"225",225,"Dbl Crop WinWht/Corn","C","NA","33","41","1","128","1290","4","18","4","148","31","98"
"226",226,"Dbl Crop Oats/Corn","C","NA","86","1930","1","624","355","23","483","4","58","195","30"
"227",227,"Lettuce","C","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA"
"229",229,"Pumpkins","C","NA","10","17","2","NA","NA","118","NA","10","3","4","3"
"230",230,"Dbl Crop Lettuce/Durum Wht","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"231",231,"Dbl Crop Lettuce/Cantaloupe","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"232",232,"Dbl Crop Lettuce/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"233",233,"Dbl Crop Lettuce/Barley","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"234",234,"Dbl Crop Durum Wht/Sorghum","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"235",235,"Dbl Crop Barley/Sorghum","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"236",236,"Dbl Crop WinWht/Sorghum","C","NA","1292","35","NA","NA","NA","7","6","NA","NA","NA","36"
"237",237,"Dbl Crop Barley/Corn","C","NA","NA","NA","NA","NA","NA","36","NA","NA","NA","1","1"
"238",238,"Dbl Crop WinWht/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"239",239,"Dbl Crop Soybeans/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"240",240,"Dbl Crop Soybeans/Oats","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"241",241,"Dbl Crop Corn/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"242",242,"Blueberries","C","NA","NA","NA","NA","NA","3","2","7","NA","NA","NA","12"
"243",243,"Cabbage","C","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA"
"244",244,"Cauliflower","C","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA"
"245",245,"Celery","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"246",246,"Radishes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"247",247,"Turnips","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"248",248,"Eggplants","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"249",249,"Gourds","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"254",254,"Dbl Crop Barley/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
