"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","29485","53134","40748","72170","79258","77142","90241","38393","24472","41648","53232","38794"
"2",2,"Cotton","C","916","1219","628","14581","6392","2577","2291","2546","4619","7754","8813","4647"
"3",3,"Rice","R","178075","532683","582733","633830","602809","595368","576516","454062","422585","544368","423576","542041"
"4",4,"Sorghum","C","657","1067","15","14329","441","2896","2564","2369","1793","4428","7347","1983"
"5",5,"Soybeans","C","NA","NA","NA","4","109","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","3471","16051","69199","52295","51410","82818","94893","92851","44389","65946","95764","132538"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","2","74","3","NA","81","2","NA","NA","NA","199","NA","NA"
"13",13,"Pop or Orn Corn","C","43","58","190","NA","NA","NA","108","390","NA","41","126","9"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","9","211","119","195","50","939","975","9","233","36","2952","2257"
"22",22,"Durum Wheat","C","NA","575","NA","NA","NA","333","NA","NA","1240","NA","NA","NA"
"23",23,"Spring Wheat","C","1","NA","17","NA","NA","NA","278","77","NA","NA","1","25"
"24",24,"Winter Wheat","C","39285","161772","120166","104341","100225","85704","80147","80842","69626","55282","46863","38418"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","160","108","20","662","7","45","909","52","168","16","1","11"
"28",28,"Oats","C","567","1838","3094","1965","618","850","1094","1274","925","449","337","48"
"29",29,"Millet","C","NA","NA","7","NA","23","NA","800","NA","6","NA","NA","478"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","21","1","4","43","1","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","24169","112763","32694","43802","14754","11690","11951","12934","21152","23097","17222","14830"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","22552","74242","80492","66791","48899","50822","46030","46546","52238","46083","47174","34933"
"37",37,"Other Hay/Non Alfalfa","C","57","5917","5592","4599","3013","2271","4232","4358","5836","2230","5813","10447"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"42",42,"Dry Beans","C","3434","15085","18041","13336","15806","29023","19472","43681","31404","30444","28924","38949"
"43",43,"Potatoes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"44",44,"Other Crops","C","NA","8471","2655","737","380","433","344","88","169","286","401","435"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
