"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","63061","118876","87199","219341","124510","136422","138306","106102","131268","123098","48322","138931"
"2",2,"Cotton","C","31420","69604","63165","214212","173111","127805","97254","94371","65590","90502","97473","118377"
"3",3,"Rice","R","4","27","2","NA","20","14","10","8","2","60","17","6"
"4",4,"Sorghum","C","381","939","803","431","2875","2040","8325","10406","32813","15273","732","14430"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","179","7","NA","13","156","NA","NA","246","699","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","1172","5499","8047","22688","3585","5313","21421","39992","36814","51327","94392","17447"
"22",22,"Durum Wheat","C","5579","2928","3833","13139","10","244","670","776","8282","441","NA","1862"
"23",23,"Spring Wheat","C","NA","2060","321","NA","NA","NA","198","NA","NA","5","76","NA"
"24",24,"Winter Wheat","C","112156","142541","221670","358467","197099","214230","155307","182489","289014","336790","144069","64707"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","NA","518","NA","37","6","179","30","94","91","422","2927"
"28",28,"Oats","C","13565","66174","87934","24763","42802","50097","40346","19867","57834","23623","35169","7326"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","574","1558","861","5","1498","412","143","4744","2920","1790","2326","926"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
