"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","7887","10651","6439","52194","14885","24663","11629","9209","24257","14440","2550","11934"
"2",2,"Cotton","C","790","2854","4156","25104","15885","6269","3448","6457","3631","4609","1242","8672"
"3",3,"Rice","R","1","1","1","NA","NA","1","4","1","NA","4","3","50"
"4",4,"Sorghum","C","43","59","2","244","716","265","377","1311","6363","386","NA","1133"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","19","NA","NA","3","98","NA","NA","31","194","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","76","626","45","4","153","3247","20373","2782","4507","2983","1019","169"
"22",22,"Durum Wheat","C","30","82","536","3680","3","30","250","10","953","100","NA","65"
"23",23,"Spring Wheat","C","NA","3","5","NA","NA","NA","NA","2","NA","37","52","NA"
"24",24,"Winter Wheat","C","13500","14043","38850","65564","19261","31661","14094","22807","44106","45045","19093","5944"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","NA","1","NA","138","4","10","17","4","41","NA","216"
"28",28,"Oats","C","267","4070","22421","12150","5656","1996","6699","4360","3642","1942","6659","305"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","404","177","25","5","275","1134","12","413","154","112","26","773"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","34300","118524","194824","279163","89486","82177","82001","107379","71539","56111","53688","38937"
"37",37,"Other Hay/Non Alfalfa","C","2","1025","1763","749","637","1105","1312","966","2657","1040","934","2063"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","NA","2","NA","NA","1","NA","NA","12","NA","NA","NA","NA"
"42",42,"Dry Beans","C","4","NA","8","3","68","572","171","1","NA","251","28","818"
"43",43,"Potatoes","C","5","NA","22","NA","224","83","155","13","3","NA","NA","57"
"44",44,"Other Crops","C","NA","601","32","4","1276","433","103","129","1","21","5","38"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA"
"47",47,"Misc Vegs & Fruits","C","7","NA","NA","NA","9","26","NA","161","NA","NA","NA","212"
"48",48,"Watermelons","C","NA","89","7","NA","60","83","65","25","1","52","4","3"
"49",49,"Onions","C","NA","564","689","1505","2148","261","401","414","71","731","795","345"
"50",50,"Cucumbers","C","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","3","18","26","50","820","342","343","732","362","272","NA","56"
"54",54,"Tomatoes","C","27","188","771","6","5815","4487","1279","1025","1207","4597","1209","1875"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","NA","NA","NA","NA","1","40","NA","NA","NA","NA","NA","1"
"58",58,"Clover/Wildflowers","C","NA","NA","NA","NA","NA","1","NA","6","NA","NA","NA","1"
"59",59,"Sod/Grass Seed","C","NA","45","NA","NA","9","NA","NA","NA","NA","10","19","8"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","233","6439","4345","12014","2602","5965","10263","3137","10232","3925","10959","13940"
"67",67,"Peaches","T","2147","18343","14633","26622","9700","11990","227407","8156","10024","2549","18725","44475"
"68",68,"Apples","T","NA","648","525","1","1531","2498","12","20","NA","2","NA","2365"
"69",69,"Grapes","C","95150","346810","278654","146965","325081","360730","240097","335940","311201","460013","398619","322799"
"70",70,"Christmas Trees","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","301","2169","5335","13366","3470","5808","3043","5643","13711","11571","7558","236604"
"72",72,"Citrus","T","15","5833","8977","4446","1040","2843","3467","7654","7796","7556","10661","115015"
"74",74,"Pecans","T","NA","280","50","796","324","319","45","1402","560","170","NA","3179"
"75",75,"Almonds","T","111573","101525","59914","27557","255900","195704","133663","154502","220455","212977","236524","107173"
"76",76,"Walnuts","T","16706","100346","120560","99722","75893","110600","79262","140970","122393","117573","188919","27089"
"77",77,"Pears","T","NA","416","128","NA","102","33","835","357","33","1107","171","1811"
"204",204,"Pistachios","T","14522","126518","53567","17901","74662","26615","24876","22820","9310","33906","18201","8136"
"205",205,"Triticale","C","144","421","397","526","632","1051","999","537","4462","1386","404","2557"
"206",206,"Carrots","C","NA","404","150","NA","196","72","35","197","1","67","808","96"
"207",207,"Asparagus","C","74","NA","20","1","NA","NA","NA","1","NA","1","NA","NA"
"208",208,"Garlic","C","NA","277","51","3","126","65","15","37","65","1114","261","2013"
"209",209,"Cantaloupes","C","NA","24","4","96","14","9","NA","1","1","35","16","169"
"210",210,"Prunes","C","1067","NA","NA","4812","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","2465","29153","41995","47067","22791","30522","7796","20016","7400","10687","11841","11344"
"212",212,"Oranges","T","3007","176156","206226","198941","124043","84960","285277","242596","277940","175231","172198","95828"
"213",213,"Honeydew Melons","C","NA","206","516","NA","2","1","63","NA","1","1","NA","6"
"214",214,"Broccoli","C","NA","32","303","NA","NA","NA","10","268","11","3","5","251"
"216",216,"Peppers","C","NA","NA","NA","NA","379","3","128","3","5","38","NA","15"
"217",217,"Pomegranates","T","NA","4649","3138","2862","3645","12925","4783","4585","15186","3039","12889","8213"
"218",218,"Nectarines","T","1324","19865","14951","5507","17572","2356","1062","17207","2772","2798","6439","56141"
"219",219,"Greens","C","NA","7","29","NA","4","NA","NA","60","17","NA","NA","NA"
"220",220,"Plums","T","647","56269","32633","39500","16188","14784","11077","22768","14601","5176","12225","10467"
"221",221,"Strawberries","T","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","14"
"222",222,"Squash","C","NA","NA","3","NA","1","NA","192","NA","NA","NA","NA","NA"
"223",223,"Apricots","T","51","77","27","NA","22","1","390","605","NA","NA","NA","NA"
"224",224,"Vetch","C","NA","NA","NA","NA","46","NA","NA","25","NA","NA","NA","NA"
"225",225,"Dbl Crop WinWht/Corn","C","5675","61814","55093","639","53090","59543","53843","54370","19194","12562","59690","64866"
"226",226,"Dbl Crop Oats/Corn","C","28","1175","967","9","574","162","549","22","101","63","7","310"
"227",227,"Lettuce","C","NA","146","148","1","242","444","24","55","2","46","107","134"
"229",229,"Pumpkins","C","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA"
"230",230,"Dbl Crop Lettuce/Durum Wht","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"231",231,"Dbl Crop Lettuce/Cantaloupe","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"232",232,"Dbl Crop Lettuce/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"233",233,"Dbl Crop Lettuce/Barley","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"234",234,"Dbl Crop Durum Wht/Sorghum","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"235",235,"Dbl Crop Barley/Sorghum","C","NA","NA","NA","17","5","105","11","199","NA","NA","NA","NA"
"236",236,"Dbl Crop WinWht/Sorghum","C","NA","1871","1594","NA","2219","2467","5294","5083","2388","807","3544","2817"
"237",237,"Dbl Crop Barley/Corn","C","NA","52","148","NA","182","159","87","1740","1","7","1390","542"
"238",238,"Dbl Crop WinWht/Cotton","C","NA","1","27","NA","26","11","39","8","NA","3","12","NA"
"239",239,"Dbl Crop Soybeans/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"240",240,"Dbl Crop Soybeans/Oats","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"241",241,"Dbl Crop Corn/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"242",242,"Blueberries","C","NA","338","23","NA","8","163","540","2","4","831","6","15730"
"243",243,"Cabbage","C","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA"
"244",244,"Cauliflower","C","NA","NA","51","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"245",245,"Celery","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"246",246,"Radishes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5"
"247",247,"Turnips","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"248",248,"Eggplants","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"249",249,"Gourds","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"254",254,"Dbl Crop Barley/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
