"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","35128","25496","25219","48778","51065","47865","37089","43001","34469","25044","15334","34543"
"2",2,"Cotton","C","66253","142927","101280","154303","174564","179517","135981","110160","48239","77014","73351","63105"
"3",3,"Rice","R","5","NA","NA","NA","4","3","NA","156","3","NA","11","3"
"4",4,"Sorghum","C","8628","4133","26","8","8210","11435","1699","270","9164","1376","6","8103"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","7","4","NA","NA","21","NA","NA","NA","103","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","1807","5696","268","171","366","1557","4357","5190","1872","14512","9773","247"
"22",22,"Durum Wheat","C","19","2688","456","58","5","44","338","1","3809","NA","NA","242"
"23",23,"Spring Wheat","C","NA","167","1","NA","1345","NA","NA","NA","NA","34","25","NA"
"24",24,"Winter Wheat","C","47899","114226","103663","111036","112690","85108","116114","64819","37031","66283","61573","38152"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","NA","NA","NA","3","23","6","1","16287","19688","4","93"
"28",28,"Oats","C","1921","21350","21552","817","15569","20934","16750","4120","5872","5344","7310","424"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","7","3144","7475","NA","5228","7550","281","21","28290","17809","138","2886"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","78111","299223","294269","377696","186216","208713","213055","245449","203220","171653","180068","115761"
"37",37,"Other Hay/Non Alfalfa","C","NA","922","4288","15200","5267","3781","2009","1306","3652","3517","10527","6349"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","NA","NA","NA","NA","327","NA","NA","1","1","1327","NA","2987"
"42",42,"Dry Beans","C","928","5","3","NA","111","468","8","4","692","4668","830","1644"
"43",43,"Potatoes","C","63","9150","5423","37161","45223","57344","34406","53850","65211","53847","6117","33932"
"44",44,"Other Crops","C","NA","249","7","NA","423","380","1450","1321","6","15","18","151"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","678","1199","NA","561","NA","1041","NA","NA","1691","994","2880"
"47",47,"Misc Vegs & Fruits","C","6","648","NA","NA","3","840","376","23","NA","NA","NA","11"
"48",48,"Watermelons","C","NA","9269","5106","NA","2450","4658","3687","8504","1207","11677","4397","946"
