"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"49",49,"Onions","C","NA","14941","32281","37","22957","19527","15636","16086","13345","10994","18218","12058"
"50",50,"Cucumbers","C","NA","NA","63","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","7","70","50","NA","577","1389","5107","2028","2154","1062","NA","378"
"54",54,"Tomatoes","C","8","1560","28258","NA","53357","40974","39364","38507","62643","64457","25415","23733"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56",56,"Hops","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57",57,"Herbs","C","NA","230","NA","NA","596","17","NA","NA","NA","2212","NA","6"
"58",58,"Clover/Wildflowers","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","23","NA","NA"
"59",59,"Sod/Grass Seed","C","NA","33","283","NA","323","76","42","10","50","39","93","50"
"60",60,"Switchgrass","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"66",66,"Cherries","T","13","3278","5465","5092","8048","19900","11151","37401","362","506","1360","19408"
"67",67,"Peaches","T","143","593","695","NA","908","439","32","NA","NA","NA","2","43"
"68",68,"Apples","T","NA","565","1210","NA","239","1500","6142","35","3","93","NA","1793"
"69",69,"Grapes","C","86661","227796","205195","64586","195512","170893","175302","172660","219515","189472","204564","210983"
"70",70,"Christmas Trees","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"Other Tree Crops","T","2","34","116","498","1522","910","3869","15","1","43","376","11789"
"72",72,"Citrus","T","604","9491","5569","13168","4131","2316","2540","4908","1672","1239","14186","90603"
"74",74,"Pecans","T","NA","NA","NA","NA","5","2","893","1","20","NA","8","66"
"75",75,"Almonds","T","26205","153449","141268","120974","139415","184040","198164","230374","209212","252110","268843","212011"
"76",76,"Walnuts","T","469","2872","204","467","2455","2322","7323","303","2920","5714","5487","1359"
"77",77,"Pears","T","NA","3","NA","NA","7","15","NA","NA","NA","NA","NA","10"
"204",204,"Pistachios","T","1981","44523","46868","11006","31561","36060","40519","31921","41695","92018","166536","119038"
"205",205,"Triticale","C","33","3465","8194","332","19596","5641","5513","9395","8078","9490","14631","10725"
"206",206,"Carrots","C","133","45577","44782","NA","19896","14020","17967","27118","23186","26420","39206","83861"
"207",207,"Asparagus","C","NA","NA","1","NA","619","1037","3045","3099","NA","NA","NA","NA"
"208",208,"Garlic","C","1503","7696","3895","NA","8679","7129","3421","8185","7683","7663","14852","12045"
"209",209,"Cantaloupes","C","NA","5383","2788","NA","2330","1343","NA","NA","NA","300","43","30"
"210",210,"Prunes","C","NA","NA","NA","80","NA","NA","NA","NA","NA","NA","NA","NA"
"211",211,"Olives","T","NA","225","22","3","795","57","57","14","NA","17","1","694"
"212",212,"Oranges","T","15284","72831","115013","75454","71149","38373","55748","76814","79840","97586","112275","60044"
"213",213,"Honeydew Melons","C","NA","3785","64","NA","265","NA","729","NA","2","21","29","3"
"214",214,"Broccoli","C","NA","1027","20","NA","1818","234","582","72","NA","500","5321","81"
"216",216,"Peppers","C","NA","2197","NA","NA","2417","8166","4720","2126","4918","7571","1370","5195"
"217",217,"Pomegranates","T","NA","270","3933","NA","324","311","624","7","31","474","308","5540"
"218",218,"Nectarines","T","2","2492","1690","NA","1503","1263","638","15","1776","1675","3238","20077"
"219",219,"Greens","C","1","1","3","NA","63","NA","228","NA","NA","857","NA","156"
"220",220,"Plums","T","43","116","3","NA","122","87","260","14","4","17","74","27"
"221",221,"Strawberries","T","NA","NA","1","NA","NA","NA","NA","8","NA","NA","72","19"
"222",222,"Squash","C","NA","NA","NA","NA","NA","14","605","NA","51","NA","NA","NA"
"223",223,"Apricots","T","5","2","8","NA","1","308","NA","NA","NA","NA","NA","NA"
"224",224,"Vetch","C","NA","14114","8362","NA","22174","NA","NA","NA","NA","NA","29597","NA"
"225",225,"Dbl Crop WinWht/Corn","C","671","45569","45799","17","32509","75755","89356","77500","45527","44904","52517","76262"
"226",226,"Dbl Crop Oats/Corn","C","127","6864","1420","6","1417","1683","605","1604","NA","4936","609","125"
"227",227,"Lettuce","C","NA","2175","2935","257","2408","68","77","29","808","1011","2238","1522"
"229",229,"Pumpkins","C","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","5"
"230",230,"Dbl Crop Lettuce/Durum Wht","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"231",231,"Dbl Crop Lettuce/Cantaloupe","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"232",232,"Dbl Crop Lettuce/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"233",233,"Dbl Crop Lettuce/Barley","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"234",234,"Dbl Crop Durum Wht/Sorghum","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"235",235,"Dbl Crop Barley/Sorghum","C","NA","NA","NA","NA","3","72","193","6","NA","NA","NA","NA"
"236",236,"Dbl Crop WinWht/Sorghum","C","NA","26414","19294","NA","4585","9282","21898","14707","26025","5737","27783","3232"
"237",237,"Dbl Crop Barley/Corn","C","NA","10","53","NA","13","40","168","4","NA","4","48","2"
"238",238,"Dbl Crop WinWht/Cotton","C","NA","NA","21","NA","7","NA","613","812","NA","1","443","NA"
"239",239,"Dbl Crop Soybeans/Cotton","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"240",240,"Dbl Crop Soybeans/Oats","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"241",241,"Dbl Crop Corn/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"242",242,"Blueberries","C","NA","6","6","NA","NA","72","1218","97","NA","1","NA","1645"
"243",243,"Cabbage","C","NA","304","NA","NA","1778","1024","NA","NA","NA","362","NA","NA"
"244",244,"Cauliflower","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"245",245,"Celery","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"246",246,"Radishes","C","NA","NA","NA","NA","NA","NA","NA","NA","309","NA","NA","1286"
"247",247,"Turnips","C","NA","104","115","NA","630","NA","NA","NA","NA","582","NA","NA"
"248",248,"Eggplants","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"249",249,"Gourds","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"254",254,"Dbl Crop Barley/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
