"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","22677","34668","20295","76097","46494","54158","55528","16544","16973","18254","17168","26564"
"2",2,"Cotton","C","2868","7872","10211","22254","12856","8756","8126","6760","7829","9360","10301","10623"
"3",3,"Rice","R","236399","792483","792469","826395","803402","806871","770433","606819","565316","735807","694638","719659"
"4",4,"Sorghum","C","419","920","NA","1793","71","720","286","534","188","1464","2606","482"
"5",5,"Soybeans","C","NA","NA","NA","14","17","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","9322","11107","32941","15527","57505","70080","73058","51770","38476","50758","52350","71896"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","8","124","6","NA","266","37","18","NA","NA","81","NA","NA"
"13",13,"Pop or Orn Corn","C","4","3","198","NA","NA","NA","6","229","NA","2","61","18"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","1","NA","5","NA","NA"
"21",21,"Barley","C","1148","5722","6073","10570","2253","7992","11000","2365","2796","4233","7731","3445"
"22",22,"Durum Wheat","C","11","694","2","NA","NA","NA","NA","NA","561","NA","NA","NA"
"23",23,"Spring Wheat","C","3","277","9","NA","NA","1","510","223","135","1","4","82"
"24",24,"Winter Wheat","C","39200","145722","112186","113241","117558","100058","105843","86382","76640","61999","80339","36006"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","375","382","4","12","357","174","6199","197","278","24","89","15"
"28",28,"Oats","C","3393","8632","9581","13742","10527","11232","8413","6116","15625","8946","2564","1356"
"29",29,"Millet","C","NA","NA","14","NA","5","NA","169","NA","202","NA","NA","3"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
