"","dt.tmp","P","ET","SWE_change","SM_change","inflow","CV_out_km3_mn","cum_gws"
"1",2002-04-15,0.429081719349485,2.64285749487085,0,0,1.723375084,1.33994562978816,-1.83034632130952
"2",2002-05-15,0.884484306290252,2.73006746599229,0,-1.65500336216821,1.970076018,1.27980645525504,-1.33065655609839
"3",2002-06-15,0.00878696602859008,2.67715300319961,0,-1.14393983771274,2.275139058,1.20623804964864,-1.78618174720532
"4",2002-07-15,0,2.6370558201587,0,-0.7250134743802,2.633277509,1.5955683153408,-2.66051489932462
"5",2002-08-15,0,2.37310791589226,0,-0.324032957734339,1.931056112,1.43552828593152,-4.21406203141406
"6",2002-09-15,0.0015901489578095,2.01928948328255,0,-0.143148105920606,1.299693206,1.12956494478336,-5.91848499860155
"7",2002-10-15,0.000839432841619758,1.60673821849152,0,-0.0864205281550241,1.168444767,0.91242193609728,-7.18194042519371
"8",2002-11-15,2.22449795775592,1.20534212243395,0,1.12902940417414,1.066357028,1.01501646621696,-7.24047343226283
"9",2002-12-15,6.15121871585233,0.926431768220238,0,2.0536414977328,2.368124948,2.60892355949568,-4.31012659385922
"10",2003-01-15,1.61805138578533,0.802950862550371,0,3.05318187692117,3.219973637,4.70451726895104,-8.03275157949647
"11",2003-02-15,1.83217793224272,1.2664123422034,0,0.104734785814575,2.190175722,2.76311383640064,-8.14465888967236
"12",2003-03-15,1.74544483533679,2.27748251556222,0,-0.499355528935844,1.721365745,2.02049130350592,-8.47646659946787
"13",2003-04-15,3.06533695960517,2.47784382875966,0,-1.04331114279944,2.315163017,1.9736859437568,-6.50418525257972
"14",2003-05-15,1.35656973880432,2.96818999453509,0,-0.676349660805677,3.826500423,3.52899347816448,-7.14194890266929
"15",2003-06-15,0.00040968960578928,2.63012609110502,0,-2.34440538269455,2.878213333,1.92009868775424,-6.46914527622821
"16",2003-07-15,0.0173384026087461,2.64038157588222,0,-1.08506918765974,3.119197087,1.91533765957632,-6.80325983441827
"17",2003-08-15,0.230865221324282,2.4875178222517,0,-0.420578230672421,2.283716678,1.66690789429248,-8.02252542096574
"18",2003-09-15,0.00440776184390848,2.07200623163373,0,-0.198876640542061,1.465780055,1.27527051165696,-9.70073770687047
"19",2003-10-15,0.0524170553786826,1.75085382054459,0,-0.1029765309473,1.346317517,1.02128702902272,-10.9711674531118
"20",2003-11-15,1.57446023295296,1.13537800440485,0,0.546405574400262,1.067147689,1.06318945944576,-11.0745325694097
"21",2003-12-15,5.37438551130231,1.03387925997775,3.54572284919619e-05,1.9275450344475,2.180190702,2.36292813287424,-8.84434424063538
"22",2004-01-15,2.18556777038074,0.745514843765794,1.909752020252e-06,3.01568972718454,2.116565336,3.24756190964736,-11.5509795246044
"23",2004-02-15,4.99055165096128,1.30173718241426,0,1.24481040591441,4.839214639,5.3736007550976,-9.64136157806935
"24",2004-03-15,1.00575093833432,2.61240439552097,0,0.0162514413227726,3.523582404,5.16900131859456,-12.9096853911733
"25",2004-04-15,0.241763291663367,2.60132263330116,0,-2.87273708561185,2.430229433,2.04043086139392,-12.0067090755932
"26",2004-05-15,0.263520341541603,2.43701946037459,0,-1.85010289919086,2.054005698,1.25545328234496,-11.5315528795803
"27",2004-06-15,0.00415050322625903,2.61834307449036,0,-0.988486632287533,2.404798775,1.29235981372416,-12.044819857281
"28",2004-07-15,0,2.60603369823982,0,-0.623925454376478,2.791629205,1.70453127112704,-12.9398301672714
"29",2004-08-15,0,2.37668723764713,0,-0.291929325431596,2.076036884,1.50029637378048,-14.4488475692674
"30",2004-09-15,0.039806566783638,1.99691485275293,0,-0.128289100346118,1.367455664,1.19693863130112,-16.1071497221917
"31",2004-10-15,2.6488044769343,1.85201625010883,0,0.429905228797816,1.203260973,1.11461394622464,-15.6516196973887
"32",2004-11-15,1.51926609761911,0.946734933529838,0,1.38902806617033,0.921146829,1.04597293565952,-16.5929427061293
"33",2004-12-15,4.70110994639406,0.772802545103587,0,1.38149975633334,1.423199092,1.52723801935872,-14.1501739885309
"34",2005-01-15,4.49677186444032,0.85954854161989,4.4374912111024e-05,4.40090584609606,1.948985977,3.3058808349696,-16.2707957446882
"35",2005-02-15,3.38494349897653,1.3698665507136,0,0.975411764934663,1.77214935,2.24579852135424,-15.7047797327142
"36",2005-03-15,3.55174338616048,2.35539596829084,0,0.583461544324031,3.106693301,3.34356782266368,-15.3287683808322
"37",2005-04-15,1.4103083661847,2.89322432065008,4.0297913416104e-05,-1.3037676596285,2.688617589,2.66481303929856,-15.4841524238811
"38",2005-05-15,2.42952811581717,3.35269989898746,0,-1.98654959620486,5.430997638,4.21854498164736,-13.2083219544939
"39",2005-06-15,0.604534947535038,2.94744896865354,0,-2.7390131384984,3.89064755,3.05053461199872,-11.9721098991127
"40",2005-07-15,0,2.83604262254372,0,-1.78072447685708,3.089941409,1.94529837441024,-11.8827850102096
"41",2005-08-15,0.0061835000202436,2.49106309831546,0,-0.763457143772959,2.405311903,1.61425033546752,-12.8131458971994
"42",2005-09-15,0.100908954836234,1.9665996839814,0,-0.265327921926829,1.818214894,1.57474554513408,-14.1700393555518
"43",2005-10-15,0.284517158837669,1.66805056496876,0,-0.0944154270562496,1.542078194,1.30759216800768,-15.2246713086343
"44",2005-11-15,1.26535662560605,1.20491134721653,0,0.381926492083887,1.214802646,1.1911500430848,-15.5224999194135
"45",2005-12-15,5.9541597337617,0.976791437084935,0,1.78569661623441,5.234374759,3.90928855523328,-11.0057420352044
