date,Cum_GWS_km3
11/30/2018,-46.00217506
12/31/2018,-45.14054371
1/31/2019,-43.93447572
2/28/2019,-41.90708881
3/31/2019,-39.55567327
4/30/2019,-38.27090873
5/31/2019,-37.75900009
6/30/2019,-37.9108212
7/31/2019,-39.05177708
8/31/2019,-40.3612454
9/30/2019,-41.41017763
