"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","4959","5260","2241","7534","8925","7584","6334","3536","1649","5167","2412","5862"
"2",2,"Cotton","C","2215","5013","5380","29768","27281","35267","13679","8084","7795","5498","4532","8780"
"3",3,"Rice","R","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4",4,"Sorghum","C","25","211","13","1","490","499","148","123","829","307","NA","292"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",6,"Sunflower","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","2","13","NA","NA","NA","NA","NA","NA","NA","21","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","928","8775","1031","69","900","3165","3722","76","2721","5446","3957","504"
"22",22,"Durum Wheat","C","3","52","184","284","2","14","3","NA","241","1","NA","10"
"23",23,"Spring Wheat","C","NA","454","2","NA","NA","NA","NA","NA","NA","NA","1","1"
"24",24,"Winter Wheat","C","27191","71014","52049","45094","47602","42230","47550","44246","42547","43899","38805","37327"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","NA","NA","NA","23","NA","NA","NA","1217","604","NA","81"
"28",28,"Oats","C","4224","37730","34434","1407","26007","19655","21171","17097","22495","21390","21337","1736"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","1150","NA","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","1","127","158","NA","442","170","NA","63","831","180","26","531"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","28014","74049","88035","87571","51966","61486","62533","65119","51224","33871","34997","20787"
"37",37,"Other Hay/Non Alfalfa","C","NA","3552","1212","490","669","158","1127","1141","757","854","763","885"
