"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","49319","68165","58949","63402","88393","71190","85903","59597","10457","40220","15893","67800"
"2",2,"Cotton","C","41370","64586","34479","86464","120062","82698","55642","71381","44291","77677","54698","85097"
"3",3,"Rice","R","2838","5958","7355","10009","9264","9405","6023","1378","25","4332","5090","5522"
"4",4,"Sorghum","C","250","706","14","193","206","447","517","782","3151","778","NA","6590"
"5",5,"Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4"
"6",6,"Sunflower","C","NA","NA","NA","NA","1","NA","1","4","NA","NA","NA","27"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","192","27","NA","103","33","393","NA","NA","6","NA","NA"
"13",13,"Pop or Orn Corn","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","2213","4119","12026","11667","12237","18351","8500","1734","9351","13233","6223","2025"
"22",22,"Durum Wheat","C","13","5327","4576","822","763","2627","1170","357","1110","813","NA","70"
"23",23,"Spring Wheat","C","NA","NA","2","NA","112","428","433","4483","64","1198","1326","168"
"24",24,"Winter Wheat","C","15782","129723","238472","264788","128286","195383","192570","134169","232285","155320","208541","82360"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","NA","2","1001","NA","136","29","15","1","704","223","1032","234"
"28",28,"Oats","C","45932","106071","141822","87812","45089","94899","60908","74020","46725","34085","39275","2935"
"29",29,"Millet","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","87","3963","174","698","185","4911","108","472","404","2294","630","7694"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","158270","485386","616431","597893","402176","399187","374735","378021","385603","347484","322719","269942"
